timestamp,left_hand_x,left_hand_y,left_hand_z,left_hand_q_x,left_hand_q_y,left_hand_q_z,left_hand_q_w,left_hand_euler_x,left_hand_euler_y,left_hand_euler_z,left_hand_yaw,left_hand_pitch,left_hand_roll,right_hand_x,right_hand_y,right_hand_z,right_hand_q_x,right_hand_q_y,right_hand_q_z,right_hand_q_w,right_hand_euler_x,right_hand_euler_y,right_hand_euler_z,right_hand_yaw,right_hand_pitch,right_hand_roll,left_sword_x,left_sword_y,left_sword_z,right_sword_x,right_sword_y,right_sword_z,head_x,head_y,head_z,head_q_x,head_q_y,head_q_z,head_q_w,head_euler_x,head_euler_y,head_euler_z,head_yaw,head_pitch,head_roll,left_hand_heading_x,left_hand_heading_y,left_hand_heading_z,right_hand_heading_x,right_hand_heading_y,right_hand_heading_z,head_heading_x,head_heading_y,head_heading_z,left_blade_x,left_blade_y,left_blade_z,right_blade_x,right_blade_y,right_blade_z
1721536278913,-0.097,-0.257,0.733,0.101,-0.008,-0.428,0.898,10.9,4.2,309.5,10.836,4.252,-51.312,0.090,-0.105,0.716,-0.116,0.217,-0.532,0.810,334.5,13.2,290.4,-24.794,14.592,-63.350,0.070,-0.605,1.192,0.591,-0.579,1.224,-0.212,0.103,1.080,-0.002,0.027,-0.456,0.890,358.4,2.6,305.7,-1.643,2.618,-54.212,0.634,-0.770,-0.073,0.340,-0.912,-0.229,0.583,-0.811,-0.046,0.100,0.175,-0.979,-0.476,0.043,-0.879
1721536279190,-0.097,-0.257,0.732,0.101,-0.003,-0.430,0.897,10.6,4.7,309.2,10.611,4.749,-51.632,0.090,-0.105,0.716,-0.116,0.217,-0.532,0.810,334.5,13.2,290.4,-24.822,14.549,-63.375,0.072,-0.608,1.188,0.591,-0.578,1.225,-0.212,0.102,1.080,-0.002,0.027,-0.456,0.890,358.4,2.6,305.7,-1.646,2.626,-54.225,0.631,-0.772,-0.081,0.340,-0.913,-0.228,0.583,-0.811,-0.046,0.092,0.179,-0.980,-0.476,0.042,-0.879
1721536279197,-0.095,-0.254,0.736,0.100,-0.009,-0.420,0.902,10.9,3.8,310.4,10.850,3.920,-50.343,0.089,-0.105,0.717,-0.118,0.217,-0.535,0.808,334.3,12.9,290.0,-25.046,14.301,-63.876,0.075,-0.598,1.196,0.587,-0.579,1.227,-0.213,0.101,1.080,-0.001,0.027,-0.458,0.888,358.5,2.7,305.4,-1.507,2.704,-54.524,0.647,-0.760,-0.067,0.333,-0.916,-0.224,0.579,-0.814,-0.047,0.101,0.172,-0.980,-0.477,0.041,-0.878
1721536279216,-0.095,-0.254,0.737,0.105,-0.012,-0.430,0.897,11.5,4.0,309.2,11.468,4.069,-51.635,0.089,-0.105,0.717,-0.119,0.217,-0.535,0.808,334.2,12.9,290.0,-25.063,14.241,-63.903,0.064,-0.606,1.196,0.587,-0.579,1.227,-0.213,0.102,1.079,-0.001,0.027,-0.458,0.888,358.5,2.7,305.4,-1.480,2.729,-54.518,0.630,-0.773,-0.070,0.333,-0.916,-0.223,0.579,-0.814,-0.048,0.111,0.179,-0.978,-0.477,0.040,-0.878
1721536279232,-0.095,-0.255,0.737,0.109,-0.008,-0.432,0.895,11.7,4.6,308.9,11.652,4.705,-52.024,0.089,-0.105,0.717,-0.121,0.217,-0.536,0.807,334.1,12.7,289.9,-25.263,14.114,-63.980,0.064,-0.612,1.192,0.588,-0.577,1.228,-0.213,0.102,1.079,-0.001,0.028,-0.458,0.888,358.5,2.8,305.4,-1.546,2.768,-54.523,0.626,-0.775,-0.080,0.332,-0.917,-0.221,0.579,-0.814,-0.048,0.108,0.189,-0.976,-0.479,0.038,-0.877
1721536279253,-0.095,-0.254,0.737,0.101,-0.007,-0.424,0.900,10.9,4.2,310.0,10.838,4.259,-50.818,0.089,-0.105,0.717,-0.122,0.217,-0.537,0.806,333.9,12.6,289.7,-25.441,14.026,-64.147,0.075,-0.601,1.195,0.588,-0.577,1.229,-0.213,0.102,1.080,-0.001,0.027,-0.458,0.888,358.5,2.7,305.4,-1.534,2.707,-54.560,0.641,-0.764,-0.073,0.329,-0.918,-0.219,0.578,-0.815,-0.047,0.098,0.176,-0.979,-0.481,0.036,-0.876
1721536279271,-0.094,-0.253,0.737,0.097,-0.006,-0.421,0.902,10.4,4.1,310.3,10.343,4.174,-50.429,0.088,-0.105,0.718,-0.121,0.217,-0.537,0.806,333.9,12.7,289.7,-25.375,14.065,-64.168,0.080,-0.596,1.197,0.587,-0.578,1.229,-0.213,0.102,1.080,-0.001,0.026,-0.459,0.888,358.5,2.6,305.3,-1.498,2.644,-54.603,0.645,-0.760,-0.072,0.329,-0.918,-0.220,0.578,-0.815,-0.046,0.092,0.170,-0.981,-0.480,0.038,-0.876
1721536279287,-0.095,-0.253,0.737,0.094,-0.006,-0.422,0.902,10.0,3.9,310.2,10.024,3.992,-50.457,0.088,-0.105,0.718,-0.121,0.217,-0.537,0.806,334.0,12.7,289.7,-25.290,14.054,-64.225,0.080,-0.594,1.198,0.585,-0.579,1.229,-0.214,0.102,1.080,-0.001,0.026,-0.459,0.888,358.5,2.6,305.3,-1.515,2.622,-54.638,0.644,-0.762,-0.069,0.328,-0.919,-0.220,0.577,-0.815,-0.046,0.090,0.164,-0.982,-0.479,0.038,-0.877
1721536279304,-0.095,-0.254,0.737,0.093,-0.007,-0.424,0.901,10.0,3.8,309.9,10.020,3.846,-50.725,0.088,-0.105,0.718,-0.120,0.216,-0.538,0.806,334.2,12.6,289.7,-25.178,13.994,-64.250,0.078,-0.594,1.199,0.584,-0.579,1.230,-0.214,0.102,1.080,-0.001,0.026,-0.459,0.888,358.5,2.6,305.3,-1.506,2.603,-54.660,0.641,-0.765,-0.066,0.329,-0.919,-0.219,0.577,-0.816,-0.045,0.092,0.162,-0.983,-0.477,0.038,-0.878
1721536279321,-0.095,-0.254,0.737,0.095,-0.008,-0.425,0.900,10.2,3.8,309.8,10.222,3.898,-50.849,0.088,-0.105,0.718,-0.120,0.215,-0.538,0.807,334.2,12.6,289.7,-25.092,13.914,-64.261,0.076,-0.596,1.199,0.583,-0.578,1.232,-0.214,0.102,1.080,-0.001,0.026,-0.459,0.888,358.5,2.6,305.3,-1.487,2.634,-54.649,0.639,-0.766,-0.067,0.330,-0.919,-0.218,0.577,-0.815,-0.046,0.094,0.165,-0.982,-0.475,0.038,-0.879
